Node1,Node2,Type,Gnarl,Route
Pukematawai,TeMatawaiJunction,Track,Unknown,TA:NC
TeMatawaiHut,TeMatawaiJunction,Track,Unknown,TA:NC
TeMatawaiHut,ButcherSaddle,Track,Unknown,TA:NC
SouthOhauHut,ButcherSaddle,Track,Unknown,NA
SouthOhauHut,GirdlestoneSaddle,Track,Unknown,NA
TeMatawaiJunction,GirdlestoneSaddle,Track,Unknown,NA
ButcherSaddle,RichardsKnob,Track,Unknown,TA:NC
OhauBridge,RichardsKnob,Track,Unknown,NA
WaiopehuJctn,OhauBridge,Track,Unknown,NA
WaiopehuHut,WaiopehuJctn,Track,Unknown,TA:NC
WaiopehuHut,RichardsKnob,Track,Unknown,TA:NC
PoadsRoad,WaiopehuJctn,Track,Unknown,TA:NC
PoadsRoad,OhauBridge,Track,Unknown,NA
HarrisCreekBridge,MangahaoDam,Track,Unknown,NA
MangahaoFlats,HarrisCreekBridge,Track,Unknown,NA
MangahaoFlats,TriangleSpurJunction,Track,Unknown,NA
TriangleSpurJunction,GirdlestoneSaddle,Track,Unknown,NA
Dundas,1434,Ridge,Unknown,CSK:TSK:MSK
Dundas,1415,Ridge,Unknown,CSK:TSK:MSK
DundasHut,1415,Track,Unknown,NA
DundasHut,CattleRidgeHut,Track,Unknown,NA
Dundas,Triangle,Ridge,Unknown,NA
TriangleSpurJunction,Triangle,Ridge,Unknown,NA
CattleRidgeHut,RoaringStagHut,Track,Unknown,NA
RoaringStagHut,CleftCreekJunction,River,VeryGnarly,SKV
CowSaddle,CleftCreekJunction,Track,VeryGnarly,SKV
Waingawa,Pukekino,Ridge,Unknown,NA
CattleRidgeHut,Pukekino,Ridge,Unknown,NA
CleftCreekJunction,MtBruce,Route,Unknown,NA
RoaringStagHut,770Junction,Track,Gnarly,SKV
770Junction,Herepai,Track,VeryGnarly,CSK:TSK:MSK
Ruapae,Herepai,Track,VeryGnarly,CSK:TSK:MSK
EastPeak,Herepai,Ridge,VeryGnarly,CSK:TSK:MSK
EastPeak,WestPeak,Ridge,VeryGnarly,CSK:TSK:MSK
Pukemoremore,WestPeak,Ridge,VeryGnarly,CSK:TSK:MSK
Pukemoremore,1415,Ridge,VeryGnarly,CSK:TSK:MSK
770Junction,Putara,Track,Gnarly,SKV:CSK:TSK:MSK
Putara,Kareti,Track,Gnarly,NA
